iModulon,Gene
RpoS,fbaB
RpoS,yehE
RpoS,mlrA
RpoS,yehW
RpoS,yehX
RpoS,yehY
RpoS,osmF
RpoS,yohF
RpoS,elaB
RpoS,yfcG
RpoS,yfdC
RpoS,talA
RpoS,tktB
RpoS,yphA
RpoS,yfiL
RpoS,lhgD
RpoS,gabD
RpoS,gabT
RpoS,gabP
RpoS,kbp
RpoS,ygaM
RpoS,rpoS
RpoS,ygdI
RpoS,yghA
RpoS,dkgA
RpoS,ygiW
RpoS,patA
RpoS,yqjC
RpoS,yqjD
RpoS,yqjE
RpoS,yqjK
RpoS,yqjG
RpoS,yhbO
RpoS,yhcO
RpoS,yhdW
RpoS,bfr
RpoS,fic
RpoS,yhfG
RpoS,ggt
RpoS,uspB
RpoS,dtpB
RpoS,yhjG
RpoS,yhjY
RpoS,yiaG
RpoS,aldB
RpoS,ysgA
RpoS,yjdN
RpoS,yjdI
RpoS,yjdJ
RpoS,blc
RpoS,yjfI
RpoS,yjfJ
RpoS,ytfK
RpoS,yjgH
RpoS,ahr
RpoS,osmY
RpoS,ecnB
RpoS,ytjA
RpoS,ynaL
lsrB KO,ykgL
lsrB KO,yceO
lsrB KO,yneL
lsrB KO,lsrB
lsrB KO,lsrF
lsrB KO,lsrG
lsrB KO,tam
lsrB KO,ymgF
UC-1,yacL
UC-1,rpnC
UC-1,ybbC
UC-1,gstB
UC-1,ycaK
UC-1,msyB
UC-1,ydfT
UC-1,rem
UC-1,ydhQ
UC-1,yeaQ
UC-1,yecH
UC-1,yecA
UC-1,tcyJ
UC-1,dsrB
UC-1,yodC
UC-1,yedI
UC-1,mqo
UC-1,yfdY
UC-1,yffQ
UC-1,cas2
UC-1,mutM
UC-1,frwD
UC-1,yjdI
UC-1,yjdJ
UC-1,chpS
UC-1,chpB
UC-1,arfA
Fur-1,fhuB
Fur-1,entD
Fur-1,fepA
Fur-1,fes
Fur-1,entF
Fur-1,fepC
Fur-1,fepG
Fur-1,fepD
Fur-1,entS
Fur-1,fepB
Fur-1,entC
Fur-1,entE
Fur-1,entB
Fur-1,entA
Fur-1,entH
Fur-1,ybiI
Fur-1,ybiX
Fur-1,fiu
Fur-1,fhuE
Fur-1,sodB
Fur-1,sufE
Fur-1,sufS
Fur-1,sufD
Fur-1,sufC
Fur-1,ydiE
Fur-1,rcnA
Fur-1,cirA
Fur-1,nrdI
Fur-1,nrdE
Fur-1,nrdF
Fur-1,ybdZ
Fur-1,yjjZ
ykgR,ykgR
Sulfate,tauA
Sulfate,tauB
Sulfate,tauC
Sulfate,tauD
Sulfate,ssuB
Sulfate,ssuC
Sulfate,ssuD
Sulfate,ssuA
Sulfate,ssuE
Sulfate,ydhP
Sulfate,cbl
Sulfate,yfgH
Sulfate,nlpA
Sulfate,sbp
Sulfate,cdh
Sulfate,iraD
Sulfate,ytiD
ypaB,ypaB
Fur-2,fhuA
Fur-2,fhuC
Fur-2,fhuD
Fur-2,fhuB
Fur-2,ybaN
Fur-2,fes
Fur-2,fepC
Fur-2,fepG
Fur-2,fepD
Fur-2,entS
Fur-2,fepB
Fur-2,entC
Fur-2,entA
Fur-2,entH
Fur-2,ybiX
Fur-2,efeO
Fur-2,tonB
Fur-2,yncE
Fur-2,yddA
Fur-2,ydhV
Fur-2,ydhY
Fur-2,ydiE
Fur-2,mntP
Fur-2,ftnA
Fur-2,rcnA
Fur-2,preT
Fur-2,preA
Fur-2,yojI
Fur-2,nrdH
Fur-2,nrdI
Fur-2,exbD
Fur-2,exbB
Fur-2,nfeF
Fur-2,bfd
Fur-2,feoA
Fur-2,feoB
Fur-2,feoC
Fur-2,sodA
Fur-2,fecR
Fur-2,fecI
Fur-2,fhuF
Fur-2,efeU
Fur-2,ybdZ
Fur-2,yciX
Magnesium,pdhR
Magnesium,ecpB
Magnesium,ecpA
Magnesium,matA
